ROC_AUC,PR_AUC_active,PR_AUC_inactive,MCC,BalancedAcc,Recall_active,Recall_inactive,Precision_active,Precision_inactive,Brier,threshold,TN,FP,FN,TP,model,fold,split,best_epoch
0.6232452500545971,0.9680450575368617,0.07859275252334832,-0.006379285337394139,0.49957894736842107,0.9991578947368421,0.0,0.9516743533186285,0.0,0.17762777785628467,0.5,0,241,4,4746,GCN,1,Train,4
0.6383978675645343,0.9669267776728951,0.08257348595512841,0.0,0.5,1.0,0.0,0.9513513513513514,0.0,0.17997114126453775,0.5,0,27,0,528,GCN,1,Validation,4
0.5653577799354212,0.9597166594384785,0.0839130285429988,-0.008548667805567534,0.49924357034795763,0.9984871406959153,0.0,0.9516943042537851,0.0,0.17937930075331193,0.5,0,67,2,1320,GCN,1,Test,4
0.6214055470626775,0.9681664096162343,0.07763027215899956,0.0629219172771932,0.5233749727014633,0.9762105263157895,0.07053941908713693,0.9539189467187822,0.13076923076923078,0.16909628669927826,0.5,17,224,113,4637,GCN,2,Train,10
0.6230359147025815,0.9693700149537625,0.08510178422686736,0.05701203547479453,0.5228324915824916,0.9715909090909091,0.07407407407407407,0.9535315985130112,0.11764705882352941,0.1727214525379177,0.5,2,25,15,513,GCN,2,Validation,10
0.5697721679048028,0.9614992520953767,0.08039229805496134,0.09286800050481299,0.529370921489376,0.9841149773071104,0.07462686567164178,0.954512105649303,0.19230769230769232,0.17376696897986396,0.5,5,62,21,1301,GCN,2,Test,10
0.6276505787289801,0.968449473180001,0.07623322324847465,0.05748257889911961,0.5357720026206595,0.9263157894736842,0.14522821576763487,0.9552757273122015,0.09090909090909091,0.19326522301787089,0.5,35,206,350,4400,GCN,3,Train,10
0.6583193041526374,0.969691855672171,0.15081429730854365,0.08390841248790071,0.553766835016835,0.9223484848484849,0.18518518518518517,0.9567779960707269,0.10869565217391304,0.18878494637156645,0.5,5,22,41,487,GCN,3,Validation,10
0.5686544584189491,0.959864423495882,0.08307947937599028,0.07249919229297848,0.5526621807753969,0.8963691376701967,0.208955223880597,0.9571890145395799,0.09271523178807947,0.19701862348810864,0.5,14,53,137,1185,GCN,3,Test,10
0.6462026643371916,0.9720746722348496,0.08712495606965565,0.09871188042840806,0.5768241974230182,0.8797894736842106,0.27385892116182575,0.9598070739549839,0.10361067503924647,0.17566136586922554,0.5,66,175,571,4179,GCN,4,Train,10
0.6057098765432098,0.9690159277879549,0.06757729043746724,0.04022763843473899,0.5310395622895623,0.8768939393939394,0.18518518518518517,0.954639175257732,0.07142857142857142,0.1759468878610669,0.5,5,22,65,463,GCN,4,Validation,10
0.5684399485176237,0.9625809677441204,0.07365970769275362,0.08166055038736035,0.5705850475308781,0.8426626323751891,0.29850746268656714,0.9595176571920758,0.08771929824561403,0.18664330693267042,0.5,20,47,208,1114,GCN,4,Test,10
0.6307490718497489,0.9687464111977354,0.08070726446555038,0.05962245874784575,0.5398296571303778,0.9136842105263158,0.16597510373443983,0.9557366218894516,0.08888888888888889,0.18859808127834382,0.5,40,201,410,4340,GCN,5,Train,8
0.6093574635241301,0.9673927181946537,0.07281912404627885,0.047711195768738356,0.5314604377104377,0.9147727272727273,0.14814814814814814,0.9545454545454546,0.08163265306122448,0.18846572239562903,0.5,4,23,45,483,GCN,5,Validation,8
0.5624449612753178,0.9593312970991539,0.08073362656568729,0.06447535726415281,0.5502912818660104,0.8767019667170953,0.22388059701492538,0.9570602807597027,0.08426966292134831,0.19356524817569415,0.5,15,52,163,1159,GCN,5,Test,8
0.6203131688141515,0.9686163431344601,0.07546170130942334,0.06885015901957167,0.5666949115527408,0.7848421052631579,0.34854771784232363,0.9595881595881596,0.0759493670886076,0.20808211542708893,0.5,84,157,1022,3728,GCN,6,Train,12
0.6933922558922558,0.973757336213798,0.13025288570049834,0.16057258573331043,0.641729797979798,0.8390151515151515,0.4444444444444444,0.9672489082969432,0.12371134020618557,0.20175215705075494,0.5,12,15,85,443,GCN,6,Validation,12
0.5645561903041525,0.96077157111347,0.07844956894317727,0.07458797096408458,0.5773364644252263,0.7367624810892587,0.417910447761194,0.9615004935834156,0.07446808510638298,0.21307627414330954,0.5,28,39,348,974,GCN,6,Test,12
0.6277790343627664,0.9677147268090048,0.07825032121533299,0.07811312020242572,0.5595580687255328,0.883578947368421,0.23553719008264462,0.9577818347786399,0.09344262295081968,0.1909440496277209,0.5,57,185,553,4197,GCN,7,Train,10
0.6143648018648018,0.9655488279280348,0.08251915343381941,0.05658828446212965,0.5421765734265734,0.8920454545454546,0.19230769230769232,0.9573170731707317,0.08064516129032258,0.1887332183788949,0.5,5,21,57,471,GCN,7,Validation,10
0.5671190191252512,0.9591852264644429,0.08161340744276271,0.10103561649866906,0.5870232799692913,0.8456883509833586,0.3283582089552239,0.9613069647463457,0.09734513274336283,0.19681925402958447,0.5,22,45,204,1118,GCN,7,Test,10
0.6405698129621575,0.9702288868789942,0.0835470484785745,0.0709393227738755,0.5190039147455415,0.988421052631579,0.049586776859504134,0.9532994923857868,0.1791044776119403,0.1390501806617462,0.5,12,230,55,4695,GCN,8,Train,8
0.515588578088578,0.9617419885161305,0.05634899644852922,0.02198263794891656,0.5078671328671329,0.9772727272727273,0.038461538461538464,0.9537892791127541,0.07692307692307693,0.1430578248215558,0.5,1,25,12,516,GCN,8,Validation,8
0.5623885113012848,0.960819172418151,0.07902622827864628,0.07400647873967568,0.5178494817892384,0.9909228441754917,0.04477611940298507,0.9534206695778749,0.2,0.14395985345359802,0.5,3,64,12,1310,GCN,8,Test,8
0.6262311232140689,0.9682228139661465,0.07777383319621879,0.098031020278403,0.5891788669081242,0.8215112607872027,0.35684647302904565,0.9618038442582553,0.09207708779443255,0.19829873943568097,0.5,86,155,848,3903,GCN,9,Train,10
0.6794574460608617,0.9744942134305629,0.09990113233276046,0.12433466334792029,0.6135708763792255,0.8197343453510436,0.4074074074074074,0.9642857142857143,0.10377358490566038,0.19872500596841333,0.5,11,16,95,432,GCN,9,Validation,10
0.567056924153815,0.9604289823880096,0.08022188913624301,0.08252862452066058,0.5799105832411318,0.7866868381240545,0.373134328358209,0.9611829944547134,0.08143322475570032,0.20604093101611695,0.5,25,42,282,1040,GCN,9,Test,10
0.633203230418405,0.9701668684081284,0.07779645008081149,0.06842857782834387,0.5484680665612219,0.901915386234477,0.1950207468879668,0.9566867604375977,0.09161793372319688,0.1913575207534236,0.5,47,194,466,4285,GCN,10,Train,11
0.6093892754234309,0.964565733042618,0.10904730473197113,0.06502559284940646,0.5451542624218146,0.905123339658444,0.18518518518518517,0.9559118236472945,0.09090909090909091,0.1903866356462588,0.5,5,22,50,477,GCN,10,Validation,11
0.56439813037686,0.9609287488709162,0.07524714287647208,0.06976465967826297,0.5572741436538939,0.8608169440242057,0.2537313432835821,0.9579124579124579,0.0845771144278607,0.1988152963917685,0.5,17,50,184,1138,GCN,10,Test,11
0.6484979253112033,0.9699574834446103,0.11414861993198294,0.10114363731146188,0.541806071194584,0.9715789473684211,0.11203319502074689,0.9556844067094636,0.16666666666666666,0.1719035979790962,0.5,27,214,135,4615,GIN,1,Train,5
0.6502525252525253,0.9661600479192104,0.09150647228291571,0.06877220257699113,0.5337752525252525,0.9564393939393939,0.1111111111111111,0.9546313799621928,0.11538461538461539,0.1759247992601662,0.5,3,24,23,505,GIN,1,Validation,5
0.5550838846614131,0.9596061151073859,0.08989665338497907,0.09286800050481299,0.529370921489376,0.9841149773071104,0.07462686567164178,0.954512105649303,0.19230769230769232,0.17265373801947934,0.5,5,62,21,1301,GIN,1,Test,5
0.6482166411880322,0.9715075460178669,0.08838754548304192,0.10925163449357524,0.5613168814151561,0.9442105263157895,0.17842323651452283,0.9577194106342088,0.1396103896103896,0.1922418312404404,0.5,43,198,265,4485,GIN,2,Train,8
0.6372053872053871,0.9702442030760011,0.0909969978440778,0.13443335365612788,0.5798611111111112,0.9375,0.2222222222222222,0.9593023255813954,0.15384615384615385,0.19612532272621847,0.5,6,21,33,495,GIN,2,Validation,8
0.563404610833879,0.9617472660983165,0.0758603845905837,0.02459795337945342,0.5151737530200736,0.9258698940998488,0.1044776119402985,0.9532710280373832,0.06666666666666667,0.19683998119469928,0.5,7,60,98,1224,GIN,2,Test,8
0.7092570430224939,0.9780369620794008,0.1431118195190006,0.15150675983177656,0.6287184974885347,0.8549473684210527,0.4024896265560166,0.9657550535077289,0.12340966921119594,0.1684245482515118,0.5,97,144,689,4061,GIN,3,Train,12
0.7495791245791246,0.9801713466394041,0.1513662727476424,0.1769908612032703,0.6502525252525253,0.8560606060606061,0.4444444444444444,0.9678800856531049,0.13636363636363635,0.164195606671032,0.5,12,15,76,452,GIN,3,Validation,12
0.5954964210716464,0.9642029666756988,0.09899470033488272,0.07778312305833165,0.5661480795718834,0.848714069591528,0.2835820895522388,0.958974358974359,0.0867579908675799,0.17109258152832924,0.5,19,48,200,1122,GIN,3,Test,12
0.6809897357501639,0.975343694074169,0.11108275291870313,0.1010904804774891,0.5765695566717624,0.887578947368421,0.26556016597510373,0.9597086273617118,0.10702341137123746,0.14250614712904636,0.5,64,177,534,4216,GIN,4,Train,12
0.6526374859708194,0.9724662483156253,0.09042515437724094,0.02764568699704421,0.5200968013468014,0.8920454545454546,0.14814814814814814,0.9534412955465587,0.06557377049180328,0.14354290376207174,0.5,4,23,57,471,GIN,4,Validation,12
