model,n_folds,CV_Train_ROC_AUC_mean,CV_Train_ROC_AUC_std,CV_Train_PR_AUC_active_mean,CV_Train_PR_AUC_active_std,CV_Train_PR_AUC_inactive_mean,CV_Train_PR_AUC_inactive_std,CV_Train_MCC_mean,CV_Train_MCC_std,CV_Train_BalancedAcc_mean,CV_Train_BalancedAcc_std,CV_Train_Recall_active_mean,CV_Train_Recall_active_std,CV_Train_Recall_inactive_mean,CV_Train_Recall_inactive_std,CV_Train_Precision_active_mean,CV_Train_Precision_active_std,CV_Train_Precision_inactive_mean,CV_Train_Precision_inactive_std,CV_Train_Brier_mean,CV_Train_Brier_std,CV_Validation_ROC_AUC_mean,CV_Validation_ROC_AUC_std,CV_Validation_PR_AUC_active_mean,CV_Validation_PR_AUC_active_std,CV_Validation_PR_AUC_inactive_mean,CV_Validation_PR_AUC_inactive_std,CV_Validation_MCC_mean,CV_Validation_MCC_std,CV_Validation_BalancedAcc_mean,CV_Validation_BalancedAcc_std,CV_Validation_Recall_active_mean,CV_Validation_Recall_active_std,CV_Validation_Recall_inactive_mean,CV_Validation_Recall_inactive_std,CV_Validation_Precision_active_mean,CV_Validation_Precision_active_std,CV_Validation_Precision_inactive_mean,CV_Validation_Precision_inactive_std,CV_Validation_Brier_mean,CV_Validation_Brier_std,Test_ROC_AUC_mean,Test_ROC_AUC_std,Test_PR_AUC_active_mean,Test_PR_AUC_active_std,Test_PR_AUC_inactive_mean,Test_PR_AUC_inactive_std,Test_MCC_mean,Test_MCC_std,Test_BalancedAcc_mean,Test_BalancedAcc_std,Test_Recall_active_mean,Test_Recall_active_std,Test_Recall_inactive_mean,Test_Recall_inactive_std,Test_Precision_active_mean,Test_Precision_active_std,Test_Precision_inactive_mean,Test_Precision_inactive_std,Test_Brier_mean,Test_Brier_std
LogisticRegression_balanced,10,0.9998065829418173,6.361341021215842e-05,0.9999905190915197,3.0752943836351863e-06,0.9921600261974362,0.0032611052384504645,0.9468499078118293,0.008789890945490063,0.9972211833519815,0.0004916324862967093,0.9944423667039626,0.0009832649725934068,1.0,0.0,1.0,0.0,0.9015909528731806,0.015869749921101614,0.005710648280794616,0.00039050835933032794,0.9754137953023152,0.01428735059892766,0.9985368098667653,0.000879709633213913,0.8594296572480469,0.05628288254550816,0.7722233410420881,0.05207391981572772,0.9102750289716607,0.04862692626754233,0.9846526220458858,0.004329460704423636,0.8358974358974359,0.0993045407708384,0.9916366499152532,0.004960140700070018,0.7382477655181626,0.04962314669190946,0.018485858042868022,0.003270469283086534,0.8442646826382461,0.005650733444273736,0.9897533665178502,0.0004937428442651396,0.3466148690017663,0.009101121494342232,0.30694130990949114,0.013561485430371405,0.6458108474270102,0.008813188084951703,0.9707261724659606,0.0023933691326443103,0.32089552238805974,0.01894470921856694,0.9657603272987622,0.0008749378300183728,0.3576165814699978,0.01534849675196366,0.0481715355721351,0.0008835243462851199
RandomForest_balanced,10,0.9996518426572694,7.148983808288139e-05,0.9999824606289099,3.5926370539584192e-06,0.9927403738599094,0.001515497210848237,0.9620599033646158,0.004513674097416597,0.9953296641062774,0.0017067263552639773,0.9964633129867396,0.0004841062569161137,0.9941960152258152,0.0034972737316843923,0.9997043606333508,0.00017805149710671173,0.9346016485524172,0.008377893398181499,0.00857689467139802,0.0003939112563775389,0.9755543743071413,0.01898339511046772,0.9982975006039758,0.0018349675089324243,0.8688791159543927,0.0562338694466324,0.7735952217235231,0.06339831284184096,0.8672698328711137,0.05484886563049901,0.9922319734345351,0.003021389290081331,0.7423076923076923,0.11104301043690586,0.987028765835133,0.005415659299504009,0.8325965929789019,0.049279642193305356,0.01825467581533196,0.0025375272773232793,0.8602693792760856,0.007457935817816369,0.9894133608079928,0.0009833706474880204,0.42504855895583615,0.01367633584427012,0.4051671764782986,0.03098984911595456,0.6308866032921625,0.013655446697847996,0.9931164901664147,0.0009056119513902026,0.26865671641791045,0.027249878482844082,0.9640223370000726,0.0012941693813165716,0.663923076923077,0.037202289393467154,0.03735380610749332,0.0006010313867271636
XGBoost_balanced,10,0.9994422615343422,0.00014608964637649588,0.9999718822079353,7.381741346527045e-06,0.9884636991815097,0.0029352339424862225,0.846188090190239,0.008653874687597068,0.9905898791390177,0.0006622540232610561,0.9811797582780357,0.0013245080465221415,1.0,0.0,1.0,0.0,0.729820457020709,0.01395450995738098,0.016402243174687255,0.001225701970815844,0.9707849407485714,0.0172993126072035,0.9980468404450876,0.0013579984162417312,0.8464705915618482,0.06716081478130288,0.7057084901823453,0.05015326034993635,0.9051363034937513,0.044863716996480396,0.9742327209476166,0.005591249495020455,0.836039886039886,0.0922753715706682,0.9915471855910939,0.004686143920146661,0.6252771421002234,0.0474906556227132,0.02669587143325684,0.0024566821651601407,0.8552690405762414,0.006541436154582018,0.9904397751864552,0.0005525464852091318,0.38767064156702014,0.009745314101110595,0.36594352127345997,0.018357683421747813,0.6867974800731591,0.01210408370530099,0.967624810892587,0.0024653366740454738,0.40597014925373126,0.025172359483927386,0.9698280403230906,0.001209188723790675,0.38888072151500724,0.01690124788781131,0.047851830751045515,0.0015646834967337345
BernoulliNB,10,0.9656179394228304,0.0017593728227612287,0.9973299697425407,0.0002110255558247828,0.8089223099280198,0.006261773057346858,0.5909443303360177,0.010498264890410515,0.908098760078046,0.0047708078194965775,0.9422340072450123,0.002195153177086485,0.87396351291108,0.008337609419700917,0.9932534892223416,0.0004506974440828364,0.4346345128690495,0.01067427891556536,0.05225201300657052,0.0020129692843085818,0.9341135977224686,0.032314265975932954,0.9948814905347299,0.003100488038895995,0.6915085715639471,0.08862527739657353,0.5233877666576701,0.0693013402425971,0.8594998358518282,0.052067837975979143,0.9388002415042264,0.00694362365264205,0.7801994301994302,0.10252023700557443,0.9882509409997817,0.005465769013186282,0.3931459080931214,0.04390633677138614,0.06094833426591062,0.00761324897555439,0.8098211664822633,0.003570153108915515,0.987191211833022,0.00029898503892024044,0.2803299882765553,0.013597107754646016,0.23164743996145704,0.010172329999540595,0.66444949985323,0.0057639993549002694,0.912481089258699,0.004837602709627684,0.4164179104477612,0.011012907274218229,0.9686043123796366,0.0005799132309336401,0.1946081346873974,0.009265006123869853,0.10107977326225293,0.002815632298195648
MultinomialNB,10,0.9685159750163788,0.001788886618145066,0.99748606997258,0.00022450025296533543,0.8251968609855602,0.005455086628992354,0.6224152007313943,0.00942040693648978,0.912739325335519,0.004746446939635003,0.9510967707629419,0.0017340970108110259,0.8743818799080965,0.008906428716058519,0.993338021452104,0.0004755020684592598,0.47599489431636827,0.00983177621414187,0.04462189652146803,0.0012068135088839963,0.9371577602256365,0.030838877166711624,0.9950322221308305,0.003130707153399299,0.708923212004892,0.08739925331735492,0.5380032485322378,0.07494499178878826,0.8587792210776082,0.05717289279946057,0.9450513196480939,0.0056922246980366225,0.7725071225071225,0.11340886379682254,0.9879446808117475,0.005945915712780073,0.4158750529240393,0.04522001149513693,0.05447486455756999,0.007470445899105904,0.8066018244631608,0.0041278064980216425,0.987217427476312,0.0005661561282211474,0.2884459573992118,0.012033471420518745,0.2337843616942274,0.008898347946819485,0.6610235509291666,0.006489616836779622,0.9190620272314675,0.003618935979426957,0.4029850746268657,0.014071776740030784,0.9681285783475337,0.0006862475427524593,0.2016284575727772,0.00695406514129732,0.09575813359384887,0.0020889906090401098
