model,n_folds,CV_Train_ROC_AUC_mean,CV_Train_ROC_AUC_std,CV_Train_PR_AUC_active_mean,CV_Train_PR_AUC_active_std,CV_Train_PR_AUC_inactive_mean,CV_Train_PR_AUC_inactive_std,CV_Train_MCC_mean,CV_Train_MCC_std,CV_Train_BalancedAcc_mean,CV_Train_BalancedAcc_std,CV_Train_Recall_active_mean,CV_Train_Recall_active_std,CV_Train_Recall_inactive_mean,CV_Train_Recall_inactive_std,CV_Train_Precision_active_mean,CV_Train_Precision_active_std,CV_Train_Precision_inactive_mean,CV_Train_Precision_inactive_std,CV_Train_Brier_mean,CV_Train_Brier_std,CV_Validation_ROC_AUC_mean,CV_Validation_ROC_AUC_std,CV_Validation_PR_AUC_active_mean,CV_Validation_PR_AUC_active_std,CV_Validation_PR_AUC_inactive_mean,CV_Validation_PR_AUC_inactive_std,CV_Validation_MCC_mean,CV_Validation_MCC_std,CV_Validation_BalancedAcc_mean,CV_Validation_BalancedAcc_std,CV_Validation_Recall_active_mean,CV_Validation_Recall_active_std,CV_Validation_Recall_inactive_mean,CV_Validation_Recall_inactive_std,CV_Validation_Precision_active_mean,CV_Validation_Precision_active_std,CV_Validation_Precision_inactive_mean,CV_Validation_Precision_inactive_std,CV_Validation_Brier_mean,CV_Validation_Brier_std,Test_ROC_AUC_mean,Test_ROC_AUC_std,Test_PR_AUC_active_mean,Test_PR_AUC_active_std,Test_PR_AUC_inactive_mean,Test_PR_AUC_inactive_std,Test_MCC_mean,Test_MCC_std,Test_BalancedAcc_mean,Test_BalancedAcc_std,Test_Recall_active_mean,Test_Recall_active_std,Test_Recall_inactive_mean,Test_Recall_inactive_std,Test_Precision_active_mean,Test_Precision_active_std,Test_Precision_inactive_mean,Test_Precision_inactive_std,Test_Brier_mean,Test_Brier_std
No_resampling,10,0.9997949990388548,5.640861346786295e-05,0.9999897187264718,2.7973221676142623e-06,0.9952832077503084,0.0015450718148994056,0.9519955896628571,0.005167489192486061,0.9579782191252061,0.004150989835247673,0.9997052808826951,0.00014718434568761625,0.9162511573677172,0.00826144724995425,0.9957644731280869,0.0004153351068806674,0.9937033951940611,0.0031502755533241588,0.003906702026613073,0.00021911008307816835,0.9745473193350328,0.015175339088680259,0.9984297495864395,0.0009926280867829083,0.8621031989535073,0.056851996829478106,0.8090540802771912,0.08699576826124657,0.8604739526584877,0.0629796560121453,0.9971587315278017,0.0016093044371053476,0.7237891737891737,0.12553307390972965,0.9861654337972657,0.006116197966767401,0.9264321351798468,0.05088236275112191,0.0139799810891824,0.00458647872769063,0.8483392417639489,0.005169924095337051,0.9902442050570046,0.00044330879362701177,0.3454667613403734,0.00825648099587015,0.36819439878612636,0.016582432072951195,0.6130517984961726,0.005317744323790182,0.993267776096823,0.0008324545647614179,0.2328358208955224,0.010435908937016432,0.962330659905961,0.0005001744057165269,0.6375418679549114,0.03215830075254255,0.04000301844320728,0.00044474954670503626
RandomOverSampler,10,0.9998293713289895,5.942413060050026e-05,0.9999916591457859,2.8740472680524223e-06,0.9930446585905732,0.002953860982111762,0.9675944627676337,0.005069024039957138,0.9983579656360433,0.0002681276456424051,0.9967159312720867,0.0005362552912848373,1.0,0.0,1.0,0.0,0.9393425202832475,0.00935682594540776,0.0036852434213176925,0.00029770589562109936,0.9749553123189271,0.014295976259560934,0.9985155289143668,0.0008697386858235643,0.8590794847410528,0.056240048371573315,0.7848556378066445,0.05410865400993921,0.9077080482856099,0.0514158726689514,0.9869260680811914,0.0046857181347452785,0.8284900284900285,0.10517584928784077,0.9912830111530069,0.005249998253632503,0.7682517779936481,0.05681632764904759,0.017140575445174246,0.003775419939973863,0.841061711111613,0.006107101779175488,0.9894545394936618,0.0005509343155755614,0.3459069968554586,0.007870964101564662,0.3176549100092577,0.017051018091198356,0.6457933479350599,0.009882511653587252,0.9736762481089258,0.0030633066159329067,0.31791044776119404,0.021166216304659355,0.9657159375181082,0.0009734226466457907,0.3809243253131199,0.023440875402389018,0.04753606915713012,0.0009110521504019241
RandomUnderSampler,10,0.9884648535040614,0.0015197303620060325,0.9994161551146945,7.589168357605498e-05,0.7929567039745972,0.03190327342109812,0.5194056307680788,0.024700020739368323,0.9418234742824225,0.006863253548384075,0.883646948564845,0.013726507096768158,1.0,0.0,1.0,0.0,0.305590340520315,0.024174219441616445,0.08295002763497288,0.00801733490544532,0.9560445158128588,0.019279736057110274,0.9973593774329667,0.0012179932385122558,0.6596615810824805,0.09631549572277184,0.4518539156658138,0.033750592038252036,0.885956451219734,0.03411519464583942,0.8764713069978723,0.018793239454924865,0.8954415954415955,0.07722205156449144,0.9940448356996407,0.004244209441658963,0.2710948748888347,0.024098903945809328,0.09022217622089372,0.007451029585724209,0.8365445841894912,0.010002400829871172,0.9891502468360882,0.000850450163742984,0.2959545052694708,0.03218983975569562,0.26471963242101365,0.027402525312933756,0.7216553390385441,0.020982906615646495,0.8686838124054462,0.013522965192185479,0.5746268656716419,0.04057091151815942,0.9757852131278885,0.0022510780093780054,0.18244634673492044,0.01736966775766253,0.10456622384345512,0.00766936278213599
SMOTE,10,0.9993466333516532,0.00015521595382673718,0.9999668116566915,7.966955088859577e-06,0.9883222202936424,0.00236625443096315,0.929608775985473,0.005648779584579038,0.9423831870262648,0.005539803922748213,0.9992000354496005,0.0001660429437468638,0.8855663386029287,0.011154555768286707,0.9942189981267235,0.0005564438336312526,0.98254675836133,0.0034870282549528376,0.005477530478885102,0.0004077038063688782,0.9718016467976935,0.017532553452966875,0.9983029737217946,0.0011398955786936886,0.845268773607159,0.05812526421801591,0.7818360142410337,0.07480112061924571,0.8398657164133919,0.05771493931305484,0.996967900063251,0.0018317888720303425,0.6827635327635326,0.11571155304407575,0.9841331838914036,0.005625371439735684,0.9209564589999373,0.04232677335020149,0.015346172539723165,0.004127213686710382,0.8358762164969404,0.0056679808246960055,0.9892751174176082,0.0004899525221350936,0.3291702867650437,0.00814057480472008,0.3289307604397913,0.020839148416778717,0.6005819992322804,0.008455916548893654,0.9922087745839638,0.0012378152000639129,0.20895522388059704,0.017234336393720174,0.9611644421477118,0.0008004724118022109,0.5776766011766011,0.03755177336109412,0.041298542695063806,0.0005646334693232735
ADASYN,10,0.9994786447327348,0.0001972120610261846,0.9999736413847948,1.0015041369435255e-05,0.9898201111668545,0.0034151092009640904,0.9376512223772311,0.009461766311379986,0.9494390821565666,0.008851429325991087,0.9992210880811795,0.0001420623540349702,0.8996570762319538,0.017748087263770942,0.9949281581421504,0.0008887079488005131,0.9832534966722983,0.002950988133116091,0.005311454183065029,0.0005815650904415187,0.9711222840808545,0.01818647738425935,0.9982480328525212,0.0011879980837436427,0.8392164330995537,0.05680034202982079,0.773039217372337,0.10286454285571463,0.8394397144337846,0.07674736682000047,0.9964007963889367,0.002083636976788105,0.6824786324786325,0.15366204558396943,0.9841454318575698,0.007459147629716119,0.9052418957853741,0.04949217895053401,0.015605116575289074,0.0043238423206718715,0.8392372479508659,0.00533983522490255,0.989313934838089,0.00047283030833593934,0.32683670322379765,0.008896406994651175,0.3281536165873934,0.03425291865946964,0.6012148034411904,0.011649284924976884,0.991981845688351,0.0011933595124759807,0.21044776119402986,0.022744536220223804,0.9612260931182673,0.0010939132787827265,0.5712625152625153,0.05392861317794608,0.04130597583597037,0.0006354117784389276
SMOTE_Tomek,10,0.9983310198130309,0.0005082003640094736,0.9999132071995357,2.727669899508292e-05,0.9780916785804534,0.0047448409210435255,0.9146858025499727,0.012095750418415782,0.9306867204044789,0.009845131625790928,0.999031614396969,0.00017754774175045615,0.8623418264119888,0.019605726969691196,0.9930534214996989,0.00097997332456685,0.9783290198882284,0.004142196041500029,0.006482387072913279,0.0006022315663489459,0.9710208858275745,0.016865666169464943,0.9982406867547361,0.0011076772126153702,0.841020339204222,0.05624687245424553,0.7749365581023594,0.07319174360256539,0.8361389001925055,0.06072550777405859,0.9967792248864354,0.0017967082161821012,0.6754985754985754,0.12215287755223625,0.9837679982588368,0.005997015068104396,0.9165854194115063,0.03612675267000874,0.015781775290574066,0.00398086785961813,0.8369487660035677,0.00662935499715292,0.9894724029742867,0.0005748545322836296,0.3233278225932977,0.00619700631735168,0.31416521457113755,0.015600496329224878,0.5939412242870369,0.0071839478129447085,0.9923600605143722,0.0009732858832889042,0.19552238805970149,0.014842222776294826,0.9605366683305265,0.0006815067722507254,0.5656047744526006,0.026659445503342195,0.041627967821361064,0.00053455856663969
