ROC_AUC,PR_AUC_active,PR_AUC_inactive,MCC,BalancedAcc,Recall_active,Recall_inactive,Precision_active,Precision_inactive,Brier,threshold,TN,FP,FN,TP,model,fold,split,best_epoch
0.9980414937759338,0.9999011832986937,0.9627806789376706,0.7704596955672884,0.984,0.968,1.0,1.0,0.6132315521628499,0.02462644303093236,0.5,241,0,152,4598,PyTorch_MLP,1,Train,2
0.9485830527497194,0.9968595107265085,0.7846298109302652,0.6636435604140322,0.9079335016835017,0.9640151515151515,0.8518518518518519,0.9922027290448343,0.5476190476190477,0.03531506804384778,0.5,23,4,19,509,PyTorch_MLP,1,Validation,2
0.8365208752003974,0.9890019083079253,0.36710772225733596,0.35704185342360095,0.6963725246686386,0.959909228441755,0.43283582089552236,0.9709257842387146,0.35365853658536583,0.052974966546816535,0.5,29,38,53,1269,PyTorch_MLP,1,Test,2
0.9986145446604062,0.9999299299257156,0.9743157222793369,0.7880065664298508,0.9856842105263157,0.9713684210526315,1.0,1.0,0.6392572944297082,0.02335794842390558,0.5,241,0,136,4614,PyTorch_MLP,2,Train,2
0.9851290684624018,0.9991478988434918,0.8895729361141905,0.7305954769130205,0.9634890572390572,0.9640151515151515,0.9629629629629629,0.9980392156862745,0.5777777777777777,0.03425505763016592,0.5,26,1,19,509,PyTorch_MLP,2,Validation,2
0.8294420484566576,0.9887659928992342,0.34822698195238944,0.3056679604499485,0.6601937363108813,0.962178517397882,0.3582089552238806,0.9673003802281369,0.32432432432432434,0.051937723921876185,0.5,24,43,50,1272,PyTorch_MLP,2,Test,2
0.9970325398558637,0.9998449933946745,0.9643010418791801,0.7746239352556333,0.9733413409041276,0.9715789473684211,0.975103734439834,0.998701579744644,0.6351351351351351,0.024587905344030294,0.5,235,6,135,4615,PyTorch_MLP,3,Train,2
0.970398428731762,0.9983253515674588,0.8188856449770713,0.6259386980510618,0.8718434343434344,0.9659090909090909,0.7777777777777778,0.9883720930232558,0.5384615384615384,0.03339221499215316,0.5,21,6,18,510,PyTorch_MLP,3,Validation,2
0.833438706618195,0.9888415547370317,0.3593768402043554,0.3083638323705223,0.6605719511369025,0.9629349470499243,0.3582089552238806,0.9673252279635258,0.3287671232876712,0.05204183126741612,0.5,24,43,49,1273,PyTorch_MLP,3,Test,2
0.9872941690325399,0.9992428485726408,0.898153736387703,0.6051107492164849,0.9464856955667176,0.9303157894736842,0.9626556016597511,0.9979674796747967,0.41207815275310833,0.055076345304284874,0.5,232,9,331,4419,PyTorch_MLP,4,Train,1
0.931888327721661,0.9954561718468071,0.7178553847842251,0.5192276757988187,0.8576388888888888,0.9375,0.7777777777777778,0.9880239520958084,0.3888888888888889,0.05775169144465719,0.5,21,6,33,495,PyTorch_MLP,4,Validation,1
0.8252873303678281,0.9880971102365053,0.3436835497035751,0.28596375635082244,0.6838914354099397,0.9349470499243571,0.43283582089552236,0.9701726844583988,0.25217391304347825,0.06982844036767327,0.5,29,38,86,1236,PyTorch_MLP,4,Test,1
0.9971862852151124,0.9998560693886677,0.9581179467834299,0.7378730030794408,0.9715212928587027,0.9637894736842105,0.979253112033195,0.9989090115644774,0.5784313725490197,0.027807473418750103,0.5,236,5,172,4578,PyTorch_MLP,5,Train,2
0.9547558922558922,0.996081778508517,0.8595611307425199,0.6776364677440162,0.9255050505050505,0.9621212121212122,0.8888888888888888,0.9941291585127201,0.5454545454545454,0.03604986217426417,0.5,24,3,20,508,PyTorch_MLP,5,Validation,2
0.8209971323413191,0.9877717307742241,0.37562325499349364,0.30007692692995547,0.6705805315329555,0.9531013615733737,0.3880597014925373,0.9684857801691007,0.29545454545454547,0.056792641682110116,0.5,26,41,62,1260,PyTorch_MLP,5,Test,2
0.9984808910242411,0.9999227051863274,0.9750524435844989,0.7044082439862189,0.9766315789473684,0.9532631578947368,1.0,1.0,0.5205183585313174,0.03756806219542694,0.5,241,0,222,4528,PyTorch_MLP,6,Train,2
0.9856200897867565,0.9992166715152822,0.8752341628033051,0.6528919602555064,0.9383417508417509,0.9507575757575758,0.9259259259259259,0.996031746031746,0.49019607843137253,0.04117838517627865,0.5,25,2,26,502,PyTorch_MLP,6,Validation,2
0.8371079549303408,0.9892867117176741,0.34785895705175784,0.3101806358525961,0.6888082281482151,0.9447806354009077,0.43283582089552236,0.9704739704739704,0.28431372549019607,0.06303716167750235,0.5,29,38,73,1249,PyTorch_MLP,6,Test,2
0.999702479338843,0.9999851947634729,0.9913411030292087,0.9728423772747937,0.9986315789473684,0.9972631578947369,1.0,1.0,0.9490196078431372,0.0023255435495988675,0.5,242,0,13,4737,PyTorch_MLP,7,Train,8
