model,n_folds,CV_Train_ROC_AUC_mean,CV_Train_ROC_AUC_std,CV_Train_PR_AUC_active_mean,CV_Train_PR_AUC_active_std,CV_Train_PR_AUC_inactive_mean,CV_Train_PR_AUC_inactive_std,CV_Train_MCC_mean,CV_Train_MCC_std,CV_Train_BalancedAcc_mean,CV_Train_BalancedAcc_std,CV_Train_Recall_active_mean,CV_Train_Recall_active_std,CV_Train_Recall_inactive_mean,CV_Train_Recall_inactive_std,CV_Train_Precision_active_mean,CV_Train_Precision_active_std,CV_Train_Precision_inactive_mean,CV_Train_Precision_inactive_std,CV_Train_Brier_mean,CV_Train_Brier_std,CV_Validation_ROC_AUC_mean,CV_Validation_ROC_AUC_std,CV_Validation_PR_AUC_active_mean,CV_Validation_PR_AUC_active_std,CV_Validation_PR_AUC_inactive_mean,CV_Validation_PR_AUC_inactive_std,CV_Validation_MCC_mean,CV_Validation_MCC_std,CV_Validation_BalancedAcc_mean,CV_Validation_BalancedAcc_std,CV_Validation_Recall_active_mean,CV_Validation_Recall_active_std,CV_Validation_Recall_inactive_mean,CV_Validation_Recall_inactive_std,CV_Validation_Precision_active_mean,CV_Validation_Precision_active_std,CV_Validation_Precision_inactive_mean,CV_Validation_Precision_inactive_std,CV_Validation_Brier_mean,CV_Validation_Brier_std,Test_ROC_AUC_mean,Test_ROC_AUC_std,Test_PR_AUC_active_mean,Test_PR_AUC_active_std,Test_PR_AUC_inactive_mean,Test_PR_AUC_inactive_std,Test_MCC_mean,Test_MCC_std,Test_BalancedAcc_mean,Test_BalancedAcc_std,Test_Recall_active_mean,Test_Recall_active_std,Test_Recall_inactive_mean,Test_Recall_inactive_std,Test_Precision_active_mean,Test_Precision_active_std,Test_Precision_inactive_mean,Test_Precision_inactive_std,Test_Brier_mean,Test_Brier_std
RF_inactive_weight_1,10,0.9993315697687091,8.03519789458617e-05,0.9999662831792797,4.076715619503701e-06,0.9865502369378352,0.0015492305297056753,0.8084880592558198,0.011746819217425156,0.8352578048732943,0.008885285676568598,0.9997052808826951,0.00022628883974462347,0.6708103288638936,0.017749361227684758,0.9835556568598495,0.0008704276880991794,0.9914384893494802,0.006474340453879564,0.011076159120175278,0.0003071988530820318,0.9691059589758988,0.020657924466745574,0.9979864511024827,0.001500195708297513,0.8398319992701356,0.07841934232772543,0.667354555247085,0.08199926694746396,0.7385097416288119,0.05654415938379844,0.9992417054798459,0.000978954748978481,0.4777777777777777,0.11336541568500158,0.9741687298487601,0.005446600167786877,0.9714035087719299,0.03870311340593073,0.01973422314021231,0.004080218239089415,0.8201565922279676,0.00859643400517095,0.9860394084357347,0.0009824468315145374,0.3957436648345339,0.013674748096236285,0.318710067465096,0.01645317921737857,0.569128073701086,0.005209124874176421,0.9979576399394855,0.00036539023565783103,0.14029850746268654,0.010435908937016429,0.9581671240356895,0.0004857167265636894,0.7773892773892774,0.03453831819392275,0.03673432683003162,0.0003901920452424566
RF_inactive_weight_2,10,0.9993942006699725,6.969072875754235e-05,0.9999694655930533,3.510773378503119e-06,0.9876321705640707,0.0014262894013050203,0.8703427093552806,0.009003702432817904,0.8903741287354091,0.007634047624326035,0.9992421362815586,0.00017753255748347455,0.7815061211892596,0.015288497705380634,0.9890197806673863,0.0007588440498563593,0.9812803584688841,0.004249905996279689,0.009253308320221929,0.0002667372919256162,0.969669115087363,0.019616575809902292,0.9979853642956712,0.0014321978975305014,0.84722688875133,0.07760347247148695,0.7224981095059997,0.09244526125416307,0.7810553904244606,0.06383404309256496,0.9988629176010579,0.0009786456874386054,0.5632478632478632,0.12765383915865816,0.9783229870330681,0.006113390236743116,0.9600854700854701,0.03729213050417747,0.018354156307446495,0.004013007549472435,0.8319173798180053,0.006859580740360434,0.9874549402857843,0.0004961170283422337,0.40209980024814607,0.013113246862017125,0.33980275878321337,0.02555081965059036,0.5828154989048705,0.008658507296324234,0.9969742813918305,0.0006176222246049426,0.16865671641791047,0.017305997145200085,0.9594531755813426,0.000809890997012699,0.7389529914529914,0.045022418779638106,0.036471983477538245,0.00042000891334633415
RF_inactive_weight_5,10,0.9995012953341407,6.605748185939927e-05,0.9999748687904406,3.3126539765231068e-06,0.9897264744166341,0.0014549771236258744,0.9237534716756196,0.004984533434944189,0.9477972436267782,0.002975313189777398,0.998000097486402,0.00031762520438954905,0.8975943897671549,0.005899525078305962,0.9948168751294506,0.0002962086029294739,0.9579951172973962,0.0064908578286687465,0.008303575590285706,0.0002678385546643298,0.9703733124847135,0.021027520180567468,0.9979194326447981,0.0018536663004246265,0.8539605974443107,0.07355018519861478,0.7635292574902224,0.10176697486986237,0.82312737468098,0.07243393057098475,0.9975368006440112,0.0015597637422300815,0.6487179487179486,0.14466807695366984,0.9825021655404471,0.006967071609229593,0.9284096605149236,0.045724031015039364,0.017773936824073643,0.003685087795991354,0.8423465125206043,0.007817002314763292,0.9877514247141976,0.0012502668245568914,0.4132463729365803,0.011706497633329255,0.3643471027710911,0.02377073783423117,0.595945762864949,0.0075837692584360935,0.9963691376701966,0.00047840811802850384,0.1955223880597015,0.014842222776294827,0.96068875930911,0.0007090018593148575,0.7313553491572067,0.03762386193312629,0.03654927686787725,0.0003693424637324938
RF_inactive_weight_10,10,0.9995914471128067,8.067438709801958e-05,0.9999794141758922,4.043326019535526e-06,0.9915416904182782,0.0017758571431070605,0.9606445430699134,0.004381052539844891,0.98548056275036,0.0024443237221577077,0.9974948520533073,0.0003500842307785207,0.9734662734474127,0.004867794868275212,0.9986511716778311,0.00024718629399337954,0.9517991330318614,0.006432495798727834,0.008396800927220635,0.00031923609301672375,0.9731235632939459,0.0195918783292355,0.9981815710219285,0.0016434747881806093,0.8586124918291331,0.06494540815928067,0.7672597418819448,0.08253569908238435,0.8478937353759459,0.06433799226280214,0.9945054194698407,0.0022683324356103218,0.7012820512820513,0.1292281821841118,0.9850267800507367,0.006265592381330779,0.8671979558707248,0.04703023974047147,0.018048256230194966,0.0031837740278528796,0.8491984103687311,0.005527396925949425,0.9881644621708888,0.0008452082945279552,0.42173615823549937,0.013254626832989641,0.3731741925786986,0.016849914332403206,0.6071674532029716,0.005049777713914225,0.9949319213313161,0.0008770815497188961,0.21940298507462686,0.010073859070306765,0.961758015303187,0.0004755606190723759,0.6885577580314421,0.04119739532431461,0.036880298041547604,0.0004894448510219018
RF_inactive_weight_20,10,0.9996598570446243,6.61756620643624e-05,0.9999828586430045,3.3168733216129466e-06,0.9929459125483675,0.0014293273066596421,0.9601116694126757,0.005499719623943658,0.9952244120263828,0.0016474127060026483,0.9962528088269507,0.0006414932699334217,0.9941960152258152,0.0034972737316843923,0.9997043204447961,0.00017801860310166188,0.9310331476858599,0.010883566943251858,0.008589007531330742,0.0003043903668277688,0.9753421084619693,0.018804343250771308,0.9982928186134172,0.0018129670796158152,0.8653875496755686,0.05646772420112463,0.7821826205232775,0.06913882378458627,0.8712341555854364,0.058035552775584205,0.9926107613133229,0.003511231603268877,0.7498575498575499,0.11741978592534574,0.9874092851876564,0.00573930829678544,0.8421996897821484,0.06201681331560356,0.018307262602802358,0.00264085803638046,0.8592419897486847,0.008290607988778632,0.9892015951252114,0.0015176605113693365,0.42401422716826886,0.013012238933874836,0.3962900316802648,0.028387290641196168,0.6277880642174904,0.01232874618342084,0.9928895612708019,0.0007307804713156622,0.2626865671641791,0.02457530156264371,0.9637309901170059,0.0011676356068034382,0.6513477257097947,0.03313326028302972,0.03747220068854291,0.00048529131730273573
