ROC_AUC,PR_AUC_active,PR_AUC_inactive,MCC,BalancedAcc,Recall_active,Recall_inactive,Precision_active,Precision_inactive,Brier,threshold,TN,FP,FN,TP,model,fold,split
0.9997606464293514,0.9999882757397233,0.9899611602615229,0.9363955933004473,0.9966315789473684,0.9932631578947368,1.0,1.0,0.8827838827838828,0.0060470525530013745,0.5,241,0,32,4718,LogisticRegression_balanced,1,Train
0.9741161616161615,0.9985248079315399,0.8515970690596104,0.7108887530962399,0.8794191919191919,0.9810606060606061,0.7777777777777778,0.9885496183206107,0.6774193548387096,0.020522151401291173,0.5,21,6,10,518,LogisticRegression_balanced,1,Validation
0.8513107683970467,0.9903563341101862,0.35278658190604023,0.32557495733320985,0.6568914128299501,0.970499243570348,0.34328358208955223,0.9668425018839487,0.3709677419354839,0.046181421176890725,0.5,23,44,39,1283,LogisticRegression_balanced,1,Test
0.9997693819611269,0.9999887079787665,0.9903987924196322,0.9382147430224959,0.9967368421052631,0.9934736842105263,1.0,1.0,0.8860294117647058,0.0061139021757787996,0.5,241,0,31,4719,LogisticRegression_balanced,2,Train
0.9770622895622896,0.9982462217808109,0.9481532486965295,0.8371753135096648,0.9729587542087541,0.9829545454545454,0.9629629629629629,0.9980769230769231,0.7428571428571429,0.013939279594792365,0.5,26,1,9,519,LogisticRegression_balanced,2,Validation
0.8460722108067831,0.9900420872771377,0.3517082005745728,0.3001215750993,0.6479158669587012,0.9674735249621785,0.3283582089552239,0.966012084592145,0.3384615384615385,0.04936356899398537,0.5,22,45,43,1279,LogisticRegression_balanced,2,Test
0.9997877265778555,0.999989582715865,0.9922668621289323,0.9569642808344989,0.9977894736842106,0.995578947368421,1.0,1.0,0.9198473282442748,0.005329890714217329,0.5,241,0,21,4729,LogisticRegression_balanced,3,Train
0.9691358024691358,0.9982044114363834,0.8501518142143623,0.7473597512445495,0.8988846801346801,0.9829545454545454,0.8148148148148148,0.9904580152671756,0.7096774193548387,0.020408445712052425,0.5,22,5,9,519,LogisticRegression_balanced,3,Validation
0.8387562941721046,0.989505450725565,0.34649800823149995,0.312502333110082,0.6494287262627859,0.970499243570348,0.3283582089552239,0.9661144578313253,0.36065573770491804,0.04791094696058615,0.5,22,45,39,1283,LogisticRegression_balanced,3,Test
0.9997938414500983,0.9999899654950686,0.9901857332452206,0.9608409777977752,0.998,0.996,1.0,1.0,0.926923076923077,0.00495993415904685,0.5,241,0,19,4731,LogisticRegression_balanced,4,Train
0.9566498316498318,0.997452178940804,0.8009798231992388,0.751394787678958,0.8480639730639731,0.9924242424242424,0.7037037037037037,0.9849624060150376,0.8260869565217391,0.01982752255218334,0.5,19,8,4,524,LogisticRegression_balanced,4,Validation
0.8361370153769729,0.9890892547034287,0.33836141426729716,0.28271912739125743,0.6341251383024364,0.9697428139183056,0.29850746268656714,0.964635063957863,0.3333333333333333,0.04869001731365329,0.5,20,47,40,1282,LogisticRegression_balanced,4,Test
0.9997929678969207,0.9999898980929014,0.9909823706461699,0.9531309105759685,0.9975789473684211,0.9951578947368421,1.0,1.0,0.9128787878787878,0.005796707410920319,0.5,241,0,23,4727,LogisticRegression_balanced,5,Train
0.9856200897867565,0.9992057144010441,0.9120488775513027,0.806406319693865,0.9368686868686869,0.9848484848484849,0.8888888888888888,0.994263862332696,0.75,0.017977614786920632,0.5,24,3,8,520,LogisticRegression_balanced,5,Validation
