ROC_AUC,PR_AUC_active,PR_AUC_inactive,MCC,BalancedAcc,Recall_active,Recall_inactive,Precision_active,Precision_inactive,Brier,threshold,TN,FP,FN,TP,model,fold,split,best_epoch
0.9107639222537671,0.9947073704308407,0.4289380502254821,0.30386962361384023,0.8292701463201573,0.7166315789473684,0.941908713692946,0.9959040374488005,0.14431023521932612,0.19398948676059685,0.5,227,14,1346,3404,SMILES_Transformer,1,Train,10
0.8585157126823795,0.9916983885761763,0.25953833361747763,0.2702093871287033,0.7948232323232323,0.7007575757575758,0.8888888888888888,0.9919571045576407,0.13186813186813187,0.20704952722067654,0.5,24,3,158,370,SMILES_Transformer,1,Validation,10
0.7340754623252872,0.9789087437577975,0.15293355811916975,0.18543009603667615,0.6930589111929009,0.7443267776096822,0.6417910447761194,0.9761904761904762,0.11286089238845144,0.18760537765482854,0.5,43,24,338,984,SMILES_Transformer,1,Test,10
0.9721878139331731,0.9985095026032611,0.6919385588622655,0.4604712129550079,0.9130867001528717,0.8593684210526316,0.966804979253112,0.9980440097799511,0.2586015538290788,0.09431958001456754,0.5,233,8,668,4082,SMILES_Transformer,2,Train,18
0.88418911335578,0.9912983096533787,0.4853500562197946,0.3287718544913665,0.8046085858585859,0.8314393939393939,0.7777777777777778,0.9865168539325843,0.19090909090909092,0.113530872103463,0.5,21,6,89,439,SMILES_Transformer,2,Validation,18
0.770576015535033,0.9838342470217482,0.2434823864573724,0.18594641605256476,0.6624065752929753,0.8472012102874432,0.47761194029850745,0.9696969696969697,0.13675213675213677,0.11237025707814981,0.5,32,35,202,1120,SMILES_Transformer,2,Test,18
0.9581803887311641,0.9977089945410793,0.6056073478121121,0.4394537940578681,0.8883262721118148,0.8637894736842106,0.9128630705394191,0.9949078564500485,0.2537485582468281,0.09598186812519797,0.5,220,21,647,4103,SMILES_Transformer,3,Train,16
0.9130892255892256,0.9949159050346668,0.4868032630171003,0.37489951229789037,0.8226010101010102,0.8674242424242424,0.7777777777777778,0.9870689655172413,0.23076923076923078,0.09784702463983963,0.5,21,6,70,458,SMILES_Transformer,3,Validation,16
0.8096281075710705,0.9854322027792178,0.23308129348167408,0.27978083072670046,0.7253370063449771,0.8835098335854765,0.5671641791044776,0.9757727652464494,0.19791666666666666,0.09987883583397902,0.5,38,29,154,1168,SMILES_Transformer,3,Test,16
0.9613050884472591,0.9979672780535895,0.4899492511506371,0.38898958413119267,0.8879423454902817,0.7966315789473685,0.979253112033195,0.9986803906043811,0.19633943427620631,0.13048218125438735,0.5,236,5,966,3784,SMILES_Transformer,4,Train,16
