ROC_AUC,PR_AUC_active,PR_AUC_inactive,MCC,BalancedAcc,Recall_active,Recall_inactive,Precision_active,Precision_inactive,Brier,threshold,TN,FP,FN,TP,model,fold,split,best_epoch
0.9826189124262941,0.9990620153067644,0.7978806067423726,0.44472543230405687,0.9102887093251801,0.8454736842105263,0.975103734439834,0.9985082048731975,0.24251805985552116,0.10232927990592475,0.5,235,6,734,4016,SELFormer,1,Train,31
0.9148428731762064,0.9947569400389417,0.5545526616487638,0.36121978236826346,0.8288089225589226,0.8428030303030303,0.8148148148148148,0.9888888888888889,0.20952380952380953,0.11399185875708459,0.5,22,5,83,445,SELFormer,1,Validation,31
0.7751145934472871,0.9800605216814481,0.2505846008641946,0.23362692525323964,0.7240725269266376,0.8063540090771558,0.6417910447761194,0.9779816513761468,0.14381270903010032,0.14612573778464044,0.5,43,24,256,1066,SELFormer,1,Test,31
0.9862756060275167,0.9992726010252553,0.8340942223681486,0.5624020634544794,0.9400340685739245,0.9132631578947369,0.966804979253112,0.9981592268752876,0.3612403100775194,0.06203077096562566,0.5,233,8,412,4338,SELFormer,2,Train,32
0.9571408529741863,0.997105522546699,0.7022038968631434,0.5189843876640816,0.9146675084175084,0.9034090909090909,0.9259259259259259,0.9958246346555324,0.32894736842105265,0.07457657184322629,0.5,25,2,51,477,SELFormer,2,Validation,32
0.8039435951859462,0.9828167271012879,0.3316956191436722,0.2401467029838678,0.689536432813241,0.886535552193646,0.4925373134328358,0.9718076285240465,0.18032786885245902,0.09559677379557015,0.5,33,34,150,1172,SELFormer,2,Test,32
0.9470443328237605,0.9969736517279801,0.5517304062715457,0.4186003250993845,0.8849713911334353,0.8446315789473684,0.9253112033195021,0.9955334987593052,0.23204994797086367,0.10484203067021652,0.5,223,18,738,4012,SELFormer,3,Train,15
0.8930274971941639,0.9927277171421247,0.46670688191049614,0.3308126831694342,0.8155513468013468,0.8162878787878788,0.8148148148148148,0.9885321100917431,0.18487394957983194,0.12083652867087796,0.5,22,5,97,431,SELFormer,3,Validation,15
0.7523200939327568,0.9788617359815808,0.17466374801172319,0.20336801300227147,0.6971458893128909,0.7972768532526475,0.5970149253731343,0.9750231267345051,0.12987012987012986,0.1501072461632058,0.5,40,27,268,1054,SELFormer,3,Test,15
0.974857392443765,0.9986517458508303,0.7186846578305043,0.4820741787148372,0.9170425857174056,0.875578947368421,0.9585062240663901,0.9976013432477813,0.28102189781021897,0.08838641741397879,0.5,231,10,591,4159,SELFormer,4,Train,23
