ROC_AUC,PR_AUC_active,PR_AUC_inactive,MCC,BalancedAcc,Recall_active,Recall_inactive,Precision_active,Precision_inactive,Brier,threshold,TN,FP,FN,TP,model,fold,split
0.9997353133872026,0.9999867618939265,0.9936522096897904,0.9487907761432395,0.95622100895392,0.999578947368421,0.9128630705394191,0.9955965611239254,0.990990990990991,0.004049876293175494,0.5,220,21,2,4748,No_resampling,1,Train
0.9715909090909092,0.9983510265826467,0.8479818316650924,0.8100771102052131,0.8509048821548821,0.9981060606060606,0.7037037037037037,0.9850467289719627,0.95,0.015248982860303588,0.5,19,8,1,527,No_resampling,1,Validation
0.8551154966468716,0.9908068125445413,0.35750770513749397,0.3739042259919285,0.6159990516404362,0.9931921331316188,0.23880597014925373,0.9626099706744868,0.64,0.03939956173766589,0.5,16,51,9,1313,No_resampling,1,Test
0.9997204629831841,0.9999859519444483,0.9939019055767377,0.9510546396114309,0.9563262721118149,0.9997894736842106,0.9128630705394191,0.9955974842767296,0.995475113122172,0.004141202763352312,0.5,220,21,1,4749,No_resampling,2,Train
0.9722222222222221,0.9975300732172979,0.9440687834730263,0.877460116325216,0.9064604377104377,0.9981060606060606,0.8148148148148148,0.9906015037593985,0.9565217391304348,0.008721446450645815,0.5,22,5,1,527,No_resampling,2,Validation
0.8498769390566081,0.9904966989504855,0.35079881576224886,0.3739042259919285,0.6159990516404362,0.9931921331316188,0.23880597014925373,0.9626099706744868,0.64,0.04010822018968771,0.5,16,51,9,1313,No_resampling,2,Test
0.9998139331731819,0.9999906628835383,0.9958657059592201,0.955602335798657,0.9624450753439615,0.999578947368421,0.9253112033195021,0.9962232480067142,0.9911111111111112,0.0037496959025558143,0.5,223,18,2,4748,No_resampling,3,Train
0.9670314253647587,0.9980656140093132,0.8450771258402374,0.8125752837858236,0.868476430976431,0.9962121212121212,0.7407407407407407,0.9868667917448405,0.9090909090909091,0.014611586726405895,0.5,20,7,2,526,No_resampling,3,Validation
0.8430916521778399,0.9899858656037952,0.33883305306971334,0.3920767913280089,0.6167554812924786,0.9947049924357034,0.23880597014925373,0.9626647144948756,0.6956521739130435,0.03989625736542298,0.5,16,51,7,1315,No_resampling,3,Test
0.9998296571303777,0.9999915387880032,0.9954856158984794,0.9623591644159148,0.9666997160952173,0.9997894736842106,0.9336099585062241,0.9966421825813221,0.995575221238938,0.0035028293685284684,0.5,225,16,1,4749,No_resampling,4,Train
0.9545454545454546,0.9973167958291941,0.7918020029740017,0.7404643946455725,0.8129208754208754,0.9962121212121212,0.6296296296296297,0.9813432835820896,0.8947368421052632,0.01889613008313437,0.5,17,10,2,526,No_resampling,4,Validation
0.8415562128841421,0.9897128152025668,0.33900165252992426,0.35693279339768447,0.6085363650732721,0.9931921331316188,0.22388059701492538,0.9619047619047619,0.625,0.040689415542324185,0.5,15,52,9,1313,No_resampling,4,Test
0.9997851059183227,0.9999892874935836,0.9945710594476824,0.9510546396114309,0.9563262721118149,0.9997894736842106,0.9128630705394191,0.9955974842767296,0.995475113122172,0.004062074332609008,0.5,220,21,1,4749,No_resampling,5,Train
0.986391694725028,0.9992347470282943,0.9243299645823814,0.8796694676998162,0.9240319865319866,0.9962121212121212,0.8518518518518519,0.9924528301886792,0.92,0.009790926279854412,0.5,23,4,2,526,No_resampling,5,Validation
0.8502946688644523,0.9903638223792507,0.3481577320764872,0.35693279339768447,0.6085363650732721,0.9931921331316188,0.22388059701492538,0.9619047619047619,0.625,0.03986350663595138,0.5,15,52,9,1313,No_resampling,5,Test
0.9997824852587902,0.9999890063247852,0.9957401235707573,0.9510657612930252,0.9582956977506005,0.999578947368421,0.91701244813278,0.9958053691275168,0.9910313901345291,0.003922421036747308,0.5,221,20,2,4748,No_resampling,6,Train
0.9859708193041528,0.9992519802967537,0.8795596741216379,0.8125752837858236,0.868476430976431,0.9962121212121212,0.7407407407407407,0.9868667917448405,0.9090909090909091,0.014171126943376267,0.5,20,7,2,526,No_resampling,6,Validation
0.84953823921241,0.9902479388953394,0.33810269006592053,0.365746246283547,0.6089145798992933,0.9939485627836612,0.22388059701492538,0.9619326500732065,0.6521739130434783,0.040366903736002865,0.5,15,52,8,1314,No_resampling,6,Test
0.9998608090474119,0.999992906010962,0.9974358320279995,0.9557766570387854,0.9586776859504132,1.0,0.9173553719008265,0.9958071278825996,1.0,0.0039373987649256184,0.5,222,20,0,4750,No_resampling,7,Train
0.997960372960373,0.9999039339383655,0.8867756575246994,0.9385376555780791,0.9605914918414918,0.9981060606060606,0.9230769230769231,0.996219281663516,0.96,0.0071175860184304485,0.5,24,2,1,527,No_resampling,7,Validation
0.8534107074310747,0.9907499602682448,0.3519635786314391,0.3991781064679998,0.6238399530336216,0.9939485627836612,0.2537313432835821,0.9633431085043989,0.68,0.03950818662023051,0.5,17,50,8,1314,No_resampling,7,Test
0.9998999565028273,0.9999949086546894,0.9980921800623321,0.9535123549445036,0.9585724227925185,0.9997894736842106,0.9173553719008265,0.9958062486894527,0.9955156950672646,0.0035955993073582783,0.5,222,20,1,4749,No_resampling,8,Train
0.9480623543123543,0.9967922460786487,0.7532030359236688,0.6242507760067655,0.7471590909090908,0.9943181818181818,0.5,0.9758364312267658,0.8125,0.02219443292553392,0.5,13,13,3,525,No_resampling,8,Validation
0.849989839004674,0.9903847542801945,0.33870253169955394,0.35770566608894044,0.6152426219883939,0.9916792738275341,0.23880597014925373,0.9625550660792952,0.5925925925925926,0.04029838480895796,0.5,16,51,11,1311,No_resampling,8,Test
0.9997554565931086,0.9999878153742235,0.9937089780127195,0.9465117920592956,0.9541463644692403,0.9995790359924226,0.9087136929460581,0.9953888073779082,0.9909502262443439,0.0040086262108124816,0.5,219,22,2,4749,No_resampling,9,Train
0.9798299248014618,0.9988527988833895,0.8758338074734461,0.8330407048511433,0.8694216037669548,0.9981024667931688,0.7407407407407407,0.9868667917448405,0.9523809523809523,0.0133519999372864,0.5,20,7,1,526,No_resampling,9,Validation
0.839512723824147,0.9893811752634258,0.3356843414465674,0.34863034551585725,0.608158150247251,0.9924357034795764,0.22388059701492538,0.9618768328445748,0.6,0.04041507738360939,0.5,15,52,10,1312,No_resampling,9,Test
0.999766810394143,0.9999883478965577,0.9943784672573639,0.9442277757122886,0.9520716756725598,0.9995790359924226,0.9045643153526971,0.9951802179379715,0.990909090909091,0.004097296286065949,0.5,218,23,2,4749,No_resampling,10,Train
0.9818680160236138,0.9989982800004912,0.8724001059568804,0.7618900098884596,0.7962962962962963,1.0,0.5925925925925926,0.9795539033457249,1.0,0.015695592666852876,0.5,16,11,0,527,No_resampling,10,Validation
0.8510059385372682,0.990312207182202,0.35591551298438573,0.35693279339768447,0.6085363650732721,0.9931921331316188,0.22388059701492538,0.9619047619047619,0.625,0.03948467041221987,0.5,15,52,9,1313,No_resampling,10,Test
0.999799956322341,0.9999902464172186,0.9913378077905901,0.9627958339768542,0.9981052631578947,0.9962105263157894,1.0,1.0,0.9305019305019305,0.0040317341573921205,0.5,241,0,18,4732,RandomOverSampler,1,Train
